window,scenario,drift_score,avg_accuracy,accuracy_drop
1,concept_education,0.5129677285535241,0.7961010543067436,0.0554797924540813
1,covariate_age,0.9118577658716138,0.825542072806843,0.02603877395398191
1,label_income,0.6178220245283385,0.7323453351899741,0.11923551157085077
1,no_drift,0.5129677285535241,0.8374776208474239,0.014103225913400963
2,concept_education,0.507978873004238,0.7955042769047145,0.056076569856110425
2,covariate_age,0.9091577853831916,0.8321066242291626,0.01947422253166231
2,label_income,0.6273260085815786,0.7286652078774617,0.12291563888336321
2,no_drift,0.507978873004238,0.8456335786751541,0.005947268085670809
3,concept_education,0.5151260869794495,0.7979908494131689,0.053589997347656015
3,covariate_age,0.905697556482502,0.8352894370399842,0.016291409720840755
3,label_income,0.6190797302831992,0.7437835687288641,0.10779727803196082
3,no_drift,0.5151260869794495,0.8471255221802267,0.004455324580598163
4,concept_education,0.5166241718565706,0.7953053511040382,0.05627549565678669
4,covariate_age,0.906576456381077,0.833001790332206,0.0185790564286189
4,label_income,0.6165458618756076,0.7235925999602149,0.12798824680061005
4,no_drift,0.5166241718565706,0.8448378754724488,0.006742971288376087
5,concept_education,0.5215829250843305,0.7999801074199324,0.05160073934089249
5,covariate_age,0.9115385054834566,0.8341953451362641,0.017385501624560762
5,label_income,0.6267327511500405,0.7258802466679928,0.12570060009283213
5,no_drift,0.5215829250843305,0.8499104833896957,0.0016703633711292465
6,concept_education,0.4934283189750386,0.8245,0.027080846760824895
6,covariate_age,0.9203700022089684,0.8634999999999999,-0.011919153239175029
6,label_income,0.6748862381267948,0.7825,0.06908084676082493
6,no_drift,0.4934283189750386,0.8845000000000001,-0.03291915323917516
